Month,DowJonesClosing,UnemploymentRate,ConsumerPriceIndex,LaborForceParticipationRate,JobGains,,,,,,,,,,
Jan-04,10673.5,0.057,188,0.662,112,,,,,,,,,,
Feb-04,10739.4,0.056,189,0.662,21,,,,,,,,,,
Mar-04,10958.5,0.057,189.9,0.662,308,,,,,,,,,,
Apr-04,10957.3,0.056,191.1,0.66,288,,,,,,,,,,
May-04,10472.6,0.056,192.1,0.66,248,,,,,,,,,,
Jun-04,10909.3,0.056,193.2,0.66,112,,,,,,,,,,
Jul-04,10854.5,0.055,193.8,0.66,32,,,,,,,,,,
Aug-04,10761.9,0.054,194.4,0.659,144,,,,,,,,,,
Sep-04,10381.3,0.054,195.1,0.659,96,,,,,,,,,,
Oct-04,10686.7,0.055,195.5,0.659,337,,,,,,,,,,
Nov-04,10959.1,0.054,196.2,0.659,112,,,,,,,,,,
Dec-04,10783.9,0.054,196.8,0.658,157,,,,,,,,,,
Jan-05,10917.5,0.053,197.3,0.658,146,,,,,,,,,,
Feb-05,11011.7,0.054,198.1,0.658,262,,,,,,,,,,
Mar-05,10928.3,0.052,198.8,0.658,110,,,,,,,,,,
Apr-05,10929.8,0.052,199.8,0.657,292,,,,,,,,,,
May-05,10510.1,0.051,201.2,0.657,104,,,,,,,,,,
Jun-05,10714.7,0.05,202.4,0.657,146,,,,,,,,,,
Jul-05,10666.1,0.05,203.5,0.656,277,,,,,,,,,,
Aug-05,10890.1,0.049,204.6,0.656,211,,,,,,,,,,
Sep-05,10685.6,0.05,205.7,0.655,-35,,,,,,,,,,
Oct-05,10685.1,0.05,206.8,0.655,56,,,,,,,,,,
Nov-05,10931.2,0.05,207.5,0.655,215,,,,,,,,,,
Dec-05,10717.5,0.049,208.4,0.654,108,,,,,,,,,,
Jan-06,10907.2,0.047,198.3,0.656,193,,,,,,,,,,
Feb-06,11011.3,0.048,199.2,0.656,243,,,,,,,,,,
Mar-06,11144.9,0.047,200.5,0.657,211,,,,,,,,,,
Apr-06,11360.4,0.047,201.5,0.657,138,,,,,,,,,,
May-06,11278.9,0.046,202.5,0.658,75,,,,,,,,,,
Jun-06,11108.3,0.046,203.6,0.658,121,,,,,,,,,,
Jul-06,11143.7,0.047,204.9,0.658,113,,,,,,,,,,
Aug-06,11381.8,0.047,205.9,0.658,128,,,,,,,,,,
Sep-06,11505.2,0.046,206.7,0.657,51,,,,,,,,,,
Oct-06,12134.1,0.044,207.4,0.657,92,,,,,,,,,,
Nov-06,12416.6,0.045,208.4,0.656,132,,,,,,,,,,
Dec-06,12474.5,0.045,209.4,0.655,167,,,,,,,,,,
Jan-07,12646.4,0.046,202.4,0.657,162,,,,,,,,,,
Feb-07,12756.4,0.045,203.2,0.657,113,,,,,,,,,,
Mar-07,12416.6,0.044,204.3,0.657,180,,,,,,,,,,
Apr-07,13063.9,0.045,205.3,0.658,88,,,,,,,,,,
May-07,13627.7,0.044,206.4,0.659,157,,,,,,,,,,
Jun-07,13611.6,0.045,207.4,0.659,69,,,,,,,,,,
Jul-07,13907.9,0.046,208.4,0.659,68,,,,,,,,,,
Aug-07,13304.2,0.046,209.2,0.658,-4,,,,,,,,,,
Sep-07,13895.6,0.047,210.1,0.657,110,,,,,,,,,,
Oct-07,13725.5,0.047,210.9,0.656,159,,,,,,,,,,
Nov-07,13339.8,0.047,211.6,0.655,115,,,,,,,,,,
Dec-07,12800.2,0.05,212.8,0.654,18,,,,,,,,,,
Jan-08,12650.6,0.05,211.1,0.655,-17,,,,,,,,,,
Feb-08,12270.2,0.049,211.8,0.654,-63,,,,,,,,,,
Mar-08,12262.9,0.051,213.3,0.653,-546,,,,,,,,,,
Apr-08,12608.3,0.05,214.5,0.652,-20,,,,,,,,,,
May-08,12638.3,0.055,216.6,0.651,-49,,,,,,,,,,
Jun-08,11350,0.055,218.1,0.65,-62,,,,,,,,,,
Jul-08,11378,0.057,219.2,0.649,-51,,,,,,,,,,
Aug-08,11543.6,0.061,219.9,0.648,-84,,,,,,,,,,
Sep-08,10850.7,0.061,219.4,0.647,-159,,,,,,,,,,
Oct-08,9035.3,0.065,216.6,0.645,-240,,,,,,,,,,
Nov-08,8046.4,0.068,212.2,0.643,-803,,,,,,,,,,
Dec-08,8776.4,0.073,210.2,0.641,275,,,,,,,,,,
Jan-09,8077.6,0.078,211.143,0.655,-598,,,,,,,,,,
Feb-09,7062.9,0.083,211.242,0.653,-651,,,,,,,,,,
Mar-09,7608.92,0.087,212.709,0.651,-663,,,,,,,,,,
Apr-09,8285.97,0.09,213.24,0.65,263,,,,,,,,,,
May-09,8500.33,0.094,213.856,0.649,44,,,,,,,,,,
Jun-09,8447,0.095,215.693,0.648,-467,,,,,,,,,,
Jul-09,9097.5,0.095,215.351,0.647,28,,,,,,,,,,
Aug-09,9311.1,0.096,215.834,0.646,151,,,,,,,,,,
Sep-09,9774.5,0.098,215.969,0.645,254,,,,,,,,,,
Oct-09,9972.3,0.1,216.177,0.644,-190,,,,,,,,,,
Nov-09,10344.8,0.099,216.33,0.643,178,,,,,,,,,,
Dec-09,10428,0.099,218.136,0.642,156,,,,,,,,,,
Jan-10,10067.9,0.098,216.687,0.646,257,,,,,,,,,,
Feb-10,10391,0.098,216.919,0.645,-36,,,,,,,,,,
Mar-10,10857,0.099,218.009,0.644,162,,,,,,,,,,
Apr-10,11045.3,0.099,218.259,0.643,290,,,,,,,,,,
May-10,10868.1,0.096,218.986,0.642,431,,,,,,,,,,
Jun-10,9774.5,0.094,218.654,0.641,217,,,,,,,,,,
