MONTH,NumberOfJobs,UnemploymentRate,ConsumerPriceIndex,ProducerPriceIndex,LaborForceParticipationRate,AverageHourlyEarnings
16-Jan,151,4.8,236.916,,62.7,25.24
16-Feb,242,4.9,237.111,,62.8,25.35
16-Mar,215,5,238.132,,63,25.43
16-Apr,160,5.1,239.261,,62.9,25.53
16-May,38,4.8,240.229,,62.7,25.53
16-Jun,287,4.9,241.018,,62.7,25.61
16-Jul,255,4.8,240.628,,62.8,25.69
16-Aug,151,4.9,240.849,,62.9,25.73
16-Sep,156,5,241.428,,62.9,25.73
16-Oct,161,4.9,241.729,,62.8,25.69
16-Nov,178,4.7,241.353,,62.7,25.89
16-Dec,156,4.7,241.432,,62.7,26
17-Jan,226,4.7,242.84,,62.8,26
17-Feb,212,4.6,243.6,,62.9,26.07
17-Mar,128,4.4,243.8,,62.9,26.11
17-Apr,197,4.4,244.52,,63,26.17
17-May,216,4.4,244.73,,62.8,26.21
17-Jun,199,4.3,244.96,,62.8,26.26
17-Jul,184,4.3,244.79,,62.9,26.36
17-Aug,135,4.4,245.52,,62.9,26.38
17-Sep,92,4.3,246.82,,63.1,26.49
17-Oct,147,4.2,246.66,,62.7,26.49
17-Nov,229,4.2,246.67,,62.7,26.53
17-Dec,146,4.1,246.52,,62.7,26.61
18-Jan,171,4,248.859,,62.7,26.73
18-Feb,330,4.1,249.529,,63,26.75
18-Mar,182,4,249.577,,62.9,26.86
18-Apr,196,4,250.227,,62.9,26.91
18-May,270,3.8,250.792,,62.9,26.98
18-Jun,262,4,251.018,,63,27.04
18-Jul,178,3.8,251.214,,63,27.09
18-Aug,282,3.8,251.663,,62.6,27.2
18-Sep,108,3.7,252.182,,62.8,27.32
18-Oct,277,3.8,252.772,,62.9,27.37
18-Nov,196,3.8,252.594,,62.9,27.44
18-Dec,227,3.9,252.767,,63,27.55
19-Jan,223,3.9,251.1,,63,27.63
19-Feb,34,3.8,251.4,,63,27.74
19-Mar,196,3.8,251.9,,63.2,27.85
19-Apr,231,3.7,252.2,,63.2,27.96
19-May,72,3.6,252.3,,63.1,28.06
19-Jun,224,3.5,252.6,,63.2,28.18
19-Jul,159,3.5,252.9,,63.2,28.3
19-Aug,149,3.5,253.2,,63.2,28.41
19-Sep,266,3.5,253.4,,63.3,28.53
19-Oct,159,3.5,253.7,,63.3,28.64
19-Nov,260,3.4,254,,63.4,28.76
19-Dec,146,3.5,254.4,,63.4,28.88
20-Jan,315,3.6,145.2,,63.3,10.99
20-Feb,289,3.5,145.596,,63.3,11.02
20-Mar,-1683,4.4,145.2,,62.6,11.14
20-Apr,-20679,14.8,143.976,,60.1,11.74
20-May,2833,13.2,143.928,,60.8,11.62
20-Jun,4846,11,144.78,,61.5,11.4
20-Jul,1726,10.2,145.405,,61.5,11.36
20-Aug,1583,8.4,145.853,,61.7,11.34
20-Sep,716,7.3,146.072,,61.5,11.34
20-Oct,680,6.8,145.927,,61.7,11.33
20-Nov,264,6.7,145.819,,61.5,11.35
20-Dec,-227,6.7,260.5,,61.5,11.44
21-Jan,494,6.4,261.582,,61.3,11.41
21-Feb,525,6.2,263.014,,61.4,11.41
21-Mar,784,6,264.877,,61.5,11.34
21-Apr,286,6,267.054,,61.6,11.32
21-May,482,5.8,269.195,,61.5,11.3
21-Jun,693,5.9,271.696,,61.7,11.26
21-Jul,769,5.4,296.276,,61.8,11.27
21-Aug,663,5.2,296.171,,61.8,11.23
21-Sep,557,4.7,296.808,,61.7,11.28
21-Oct,781,4.6,298.012,,61.8,11.21
21-Nov,614,4.2,297.711,,61.9,11.21
21-Dec,569,3.9,296.797,,62,11.2
22-Jan,364,4,281.149,,62.2,11.19
22-Feb,904,3.8,283.716,,62.2,11.12
22-Mar,414,3.6,287.504,,62.3,11.07
22-Apr,254,3.6,289.109,,62.2,11.04
22-May,364,3.6,292.296,,62.3,11.01
22-Jun,370,3.6,296.311,,62.2,10.92
22-Jul,568,3.5,296.276,,62.1,10.97
22-Aug,352,3.7,296.171,,62.4,10.95
22-Sep,350,3.5,296.808,,62.3,10.95
22-Oct,324,3.7,298.012,,62.3,10.94
22-Nov,290,3.7,297.711,,62.1,10.98
22-Dec,239,3.5,290.317,,62.3,11.01
23-Jan,472,3.4,299.17,,62.4,10.99
23-Feb,248,3.6,300.84,,62.5,10.98
23-Mar,217,3.5,301.836,,62.6,11
23-Apr,217,3.4,303.363,,62.6,11.01
23-May,281,3.7,292.296,,62.6,11.03
23-Jun,105,3.6,305.109,,62.6,11.06
23-Jul,236,3.5,305.691,,62.6,11.09
23-Aug,165,3.8,307.026,,62.8,11.04
23-Sep,262,3.8,307.789,,62.8,11.03
23-Oct,105,3.8,307.681,,62.7,11.05
23-Nov,173,3.7,307.051,,62.8,11.8
23-Dec,216,3.7,306.746,,62.5,11.1
24-Jan,353,3.7,308.417,,62.5,11.16
24-Feb,275,3.9,300.84,,62.5,34.57
Mar-24,303,3.8,,,,34.67
